name,item,price,image,desc
Tomato Rice,Variety Rice,45,tomato rice.jpg,"300g of rice with Potato fry,Mango Pickle"
Lemon Rice,Variety Rice,45,lemon rice.jpg,"300g of rice with Potato fry,Mango Pickle"
Tamarind Rice,Variety Rice,45,tamirand ice.jpg,"300g of rice with Potato fry,Mango Pickle"
Curry Leaves Rice,Variety Rice,45,curry leaves rice.jpg,"300g of rice with Potato fry,Mango Pickle"
Curd Rice,Variety Rice,45,curd rice.jpg,"300g of rice with Potato fry,Mango Pickle"
Egg Rice,Variety Rice,45,egg rice.jpg,300g of rice
Sambar Rice,Variety Rice,45,sambar rice.jpg,"300g of rice with Potato fry,Mango Pickle"
Coriander Leaves Rice,Variety Rice,45,coriander rice.jpg,"300g of rice with Potato fry,Mango Pickle"
Mint Rice,Variety Rice,45,mint rice.jpg,"300g of rice with Potato fry,Mango Pickle"
White Rice,Variety Rice,40,white rice.jpg,300g  of white rice
Veg Biriyani,Biriyani,60,vegetable briyani.jpg,"300g with Raitha,Brinjal Gravy"
Coconut Milk Ghee Rice,Biriyani,60,coconut milk pulao.jpeg,Verum Soru matum than
Pulao,Biriyani,60,pulao with chicken gravy.jpeg,Verum Soru matum than
Mushroom Biriyani,Biriyani,70,mushroom briyani.jpeg,"300g with Raitha,Brinjal Gravy"
Chicken Biriyani,Biriyani,120,chicken briyani.jpg,"300g with Raitha,Brinjal Gravy"
Mutton Biriyani,Biriyani,250,mutton briyani.jpg,"300g with Raitha,Brinjal Gravy"
Prawn Biriyani,Biriyani,120,prawn briyani.jpeg,"300g with Raitha,Brinjal Gravy"
Chicken Gravy,Gravy,60,chicken gravy.jpeg,120 g of gravy with 4-5 chicken  pieces
Mutton Gravy,Gravy,100,mutton gravy.jpeg,120 g of gravy with 4-5 mutton  pieces
Egg Gravy,Gravy,60,egg gravy.jpeg,Gravy with 2 pieces of egg 
Prawn Gravy,Gravy,70,menu-1.jpg,120 g of gravy
Squid Gravy,Gravy,70,squid gravy.jpeg,120 g of gravy
Meen Kulambu,Gravy,30,fish gravy.jpeg,120 g of gravy
Crab Gravy,Gravy,50,nandu gravy.jpeg,120 g of gravy
Crab Rasam,Gravy,30,crab rasam.jpeg,120 g of gravy
Nethili gravy,gravy,50,nethili gravy.jpg,None
Karuvadu Kulambu,Gravy,50,menu-1.jpg,None
Full Meals,Meals,80,meals.jpg,"300g of rice with sambar,Rasam,Buttermilk and poriyal,Kootu,varuval"
Chicken Chukka,Side Dishes,80,menu-1.jpg,120 g of gravy with 4-5 chicken  pieces
Mutton Chukka,Side Dishes,120,menu-1.jpg,120 g of gravy with 4-5 mutton  pieces
Fish Fry,Side Dishes,100,fish fry.jpg,2nos
Crab Fry,Side Dishes,120,crab thokku.jpg,2nos
Prawn Fry,Side Dishes,180,prawn fry.jpg,250g of dried prawn gravy 
Pepper Chicken,Side Dishes,80,pepper chicken.jpg,120g of chicken  in pepper & onion gravy
Omelette,Side Dishes,20,omelete.jpg,One omelet with 2 nos. eggs
Nethili Fry,Side Dishes,80,nethili fry.jpg,120g of nethili
Egg Podimas,Side Dishes,40,egg podimas.jpg,Egg Podimas with 2 nos. of eggs
